EventID,Timestamp,Source,EmployeeID,EventType,ThreatLevel,DetectedBy,BlockchainHash,AIClassification,ResponseAction,PolicyVersion,EventDetails
50027,2024-12-08 17:03:53,Endpoint,1024,Data Download,Info,AI,e25fe267f0080ef2fa708cd6edd93a548a8e22cced538c010d19da6dd66e02cd,Benign,Escalated,v2.3.19,"{""details"": ""Event Data Download for user 1024 at 2024-12-08 17:03:53""}"
50028,2025-05-29 17:03:53,User,1259,Access Revoked,Info,Agentic AI,7c2d6b8cc867784802597b3cc1560ccb9d21d42d34844d555f885ce1e98b09a2,Suspicious,Escalated,v1.5.10,"{""details"": ""Event Access Revoked for user 1259 at 2025-05-29 17:03:53""}"
50029,2024-07-16 17:03:53,User,1108,Phishing Email,Critical,Human,b24c2884aeeb7cf33c87869dbca7573fbadcc7f248795051d9d822430a3e2227,Benign,Ignored,v1.0.5,"{""details"": ""Event Phishing Email for user 1108 at 2024-07-16 17:03:53""}"
50030,2025-01-25 17:03:53,System,1212,User Creation,Info,Agentic AI,ca991266a1f4051fa103d34ac8ffb99f61c7844fe08e444b4bc4adf01c469ed1,Confirmed Threat,Blocked,v3.0.14,"{""details"": ""Event User Creation for user 1212 at 2025-01-25 17:03:53""}"
50031,2025-05-11 17:03:53,System,1064,Access Revoked,Info,Human,e30810d2c144327010d2dddd6a2c857158f6e41dfbba7d625341b667502ac44c,Confirmed Threat,Blocked,v1.7.11,"{""details"": ""Event Access Revoked for user 1064 at 2025-05-11 17:03:53""}"
50032,2024-10-29 17:03:53,Endpoint,1099,Phishing Email,Warning,Agentic AI,13b06628ab1fc2234a82602efc04a9522b1c4bdc40eef29e16f40aa27a7d127e,Confirmed Threat,Escalated,v1.1.19,"{""details"": ""Event Phishing Email for user 1099 at 2024-10-29 17:03:53""}"
50033,2025-03-17 17:03:53,Cloud,1156,Policy Change,Critical,Human,4f43a575a64ad1f3072da29c0c9f2f216c048cdb70d9cc80cdf68dc605683958,Suspicious,Alert,v1.3.20,"{""details"": ""Event Policy Change for user 1156 at 2025-03-17 17:03:53""}"
50034,2025-04-25 17:03:53,User,1203,Logout,Info,Human,79b3fd855b25c4c8cf1b3701efa35be59df2006b09a6edda1b42b885eddc5df6,Benign,Alert,v1.9.4,"{""details"": ""Event Logout for user 1203 at 2025-04-25 17:03:53""}"
50035,2025-04-25 17:03:53,User,1034,Data Download,Warning,Agentic AI,dea9c23d7895cd5f3a8f0d3700202e7657c0c19b9a7f71452f6625c86d7ab00c,Confirmed Threat,Escalated,v1.0.17,"{""details"": ""Event Data Download for user 1034 at 2025-04-25 17:03:53""}"
50036,2024-07-09 17:03:53,System,1130,Configuration Change,Critical,AI,13756c80efee43670cad7c51e081869ca88328bc196a88f9467214f215528078,Confirmed Threat,Blocked,v2.6.13,"{""details"": ""Event Configuration Change for user 1130 at 2024-07-09 17:03:53""}"
50037,2025-03-18 17:03:53,System,1141,Logout,Info,Agentic AI,0557036283dce40d97d3199c82eca848692941b102efd17ea32f10d2a8cd15d7,Confirmed Threat,Alert,v1.4.13,"{""details"": ""Event Logout for user 1141 at 2025-03-18 17:03:53""}"
50038,2024-07-10 17:03:53,User,1273,Phishing Email,Info,AI,358522418dc078cdecfffb9352cf84d0d6ec57ddac1317993c6ea40c9b661359,Confirmed Threat,Blocked,v3.3.13,"{""details"": ""Event Phishing Email for user 1273 at 2024-07-10 17:03:53""}"
50039,2024-09-30 17:03:53,Cloud,1039,Policy Change,Info,Human,1c2915b5057a6a3e36df777c05ba57242949ae4a026c0fb52d9f9689dc438f7b,Confirmed Threat,Blocked,v1.7.13,"{""details"": ""Event Policy Change for user 1039 at 2024-09-30 17:03:53""}"
50040,2024-11-13 17:03:53,User,1013,Password Reset,Info,AI,4d1f7034bd6e8b3c53b613537f1d10165c4da9fc14e67fd79c732f5b4d8d7396,Suspicious,Blocked,v2.8.7,"{""details"": ""Event Password Reset for user 1013 at 2024-11-13 17:03:53""}"
50041,2024-08-25 17:03:53,System,1038,Password Reset,Info,AI,554341d6c3981a7d238aa5dfe83afaffca9036531f58ac09db3a9c1625f756bc,Benign,Blocked,v1.6.10,"{""details"": ""Event Password Reset for user 1038 at 2024-08-25 17:03:53""}"
50042,2025-02-19 17:03:53,Endpoint,1034,Data Download,Info,AI,1f35b52bfa68c7eee79f3f1a28193121b44f081eb9017d78d192371b4b0face9,Suspicious,Blocked,v1.0.17,"{""details"": ""Event Data Download for user 1034 at 2025-02-19 17:03:53""}"
50043,2025-01-29 17:03:53,System,1027,Unauthorized Access,Info,Agentic AI,dc6aa8e04422a431ce275a1f3dd00926dd96e47e7c509ecb644dada099b84975,Benign,Blocked,v2.6.14,"{""details"": ""Event Unauthorized Access for user 1027 at 2025-01-29 17:03:53""}"
50044,2024-12-28 17:03:53,Endpoint,1220,Password Reset,Info,AI,dc7bd6c1f5be63925bc3f1adf0b6f1609e1e6b70d7aa26eeb293c9a460a7eedf,Benign,Ignored,v3.5.18,"{""details"": ""Event Password Reset for user 1220 at 2024-12-28 17:03:53""}"
50045,2024-07-14 17:03:53,Endpoint,1099,Logout,Info,Human,4144f554f3f3622d22498b8355cd65e2d86691d9fce7ae1c37e9dfbe7f2ee275,Benign,Alert,v3.8.8,"{""details"": ""Event Logout for user 1099 at 2024-07-14 17:03:53""}"
50046,2025-05-21 17:03:53,System,1182,Malware Alert,Info,AI,f0c9086a5f314103aa6adff2c15b8968da2562d2ab1381ada0864c5ca6515159,Benign,Blocked,v1.4.18,"{""details"": ""Event Malware Alert for user 1182 at 2025-05-21 17:03:53""}"
50047,2024-12-14 17:03:53,User,1224,User Creation,Info,AI,19ccc3a4f4fccfe92e82accbc17da6f4dd9d6f36fdc03a621d050056ef9ceda0,Benign,Alert,v2.4.19,"{""details"": ""Event User Creation for user 1224 at 2024-12-14 17:03:53""}"
50048,2024-07-12 17:03:53,User,1176,Unauthorized Access,Info,AI,542ad368b4d4ae1f71861d15cb444000f63f7805a3caf97b25efefc4f70e19f3,Benign,Blocked,v1.8.17,"{""details"": ""Event Unauthorized Access for user 1176 at 2024-07-12 17:03:53""}"
50049,2024-10-16 17:03:53,User,1028,Malware Alert,Critical,AI,2155419abf67934775965664b6650433aa604b487edfac09d1f96a61bf8b0279,Benign,Blocked,v2.3.15,"{""details"": ""Event Malware Alert for user 1028 at 2024-10-16 17:03:53""}"
50050,2025-04-30 17:03:53,User,1240,Password Reset,Info,AI,1d4696b25dc7c758e2e008a38b811a957ad05d4cb28e53c542559d8cdf53d9b1,Suspicious,Ignored,v2.2.3,"{""details"": ""Event Password Reset for user 1240 at 2025-04-30 17:03:53""}"
50051,2024-10-28 17:03:53,System,1233,Login,Critical,AI,5ea363186fc109acccbd7399a9f28fe3272f86aba195aaf71050a9ea0c55b226,Confirmed Threat,Alert,v2.9.6,"{""details"": ""Event Login for user 1233 at 2024-10-28 17:03:53""}"
50052,2025-01-16 17:03:53,User,1123,Phishing Email,Info,Human,2be64d89292c27b473c223d1a2e2759fec17120d8e00dca81823c9166b2a5f86,Benign,Escalated,v1.1.11,"{""details"": ""Event Phishing Email for user 1123 at 2025-01-16 17:03:53""}"
50053,2024-09-18 17:03:53,Endpoint,1016,User Creation,Info,Human,91da36c40b2807917f6ab38a3a4f9147a5ea0c4c794c1417dc2ccd5dfefdc9b4,Confirmed Threat,Escalated,v1.0.6,"{""details"": ""Event User Creation for user 1016 at 2024-09-18 17:03:53""}"
50054,2024-10-28 17:03:53,Cloud,1102,Unauthorized Access,Warning,Agentic AI,dadb35864e0166ada3c25b8c540eb6bcc7f51b94488bc5926f38affbe3eb49e5,Suspicious,Alert,v1.3.0,"{""details"": ""Event Unauthorized Access for user 1102 at 2024-10-28 17:03:53""}"
50055,2024-07-18 17:03:53,Endpoint,1091,Unauthorized Access,Warning,Human,e10b16fa2a50f199f0de715e8ca0502749cd02c712dc09ec57f530e62fa5d9cf,Confirmed Threat,Blocked,v2.3.9,"{""details"": ""Event Unauthorized Access for user 1091 at 2024-07-18 17:03:53""}"
50056,2025-01-14 17:03:53,User,1234,Policy Change,Info,Agentic AI,22311acbeb3fc256936921c859ad8a3edeaf71d040fee766eae37fc51ed918cf,Confirmed Threat,Ignored,v3.1.3,"{""details"": ""Event Policy Change for user 1234 at 2025-01-14 17:03:53""}"
50057,2024-10-14 17:03:53,Cloud,1074,Data Download,Info,AI,977981e9ee4b6e9c7e2b2f4d0aa30609987422193153d58397e8dc8fbd5f1248,Suspicious,Ignored,v3.3.1,"{""details"": ""Event Data Download for user 1074 at 2024-10-14 17:03:53""}"
50058,2024-09-22 17:03:53,User,1097,User Creation,Info,Human,55df4cf9243cb5de58373baa71e95683cf65670c10e4e1f061d7a95f95ca845a,Suspicious,Alert,v3.9.15,"{""details"": ""Event User Creation for user 1097 at 2024-09-22 17:03:53""}"
50059,2025-06-12 17:03:53,System,1108,Logout,Info,Human,09543a84dbc00a203adee7e28eb927563c195e7e3339108de091e8614a6d754f,Suspicious,Escalated,v2.8.14,"{""details"": ""Event Logout for user 1108 at 2025-06-12 17:03:53""}"
50060,2025-04-03 17:03:53,User,1092,Access Revoked,Info,Agentic AI,a75e942d19b61896bd832e98b720668c002ff0231f4397462cd651dea2b035c0,Suspicious,Ignored,v2.9.12,"{""details"": ""Event Access Revoked for user 1092 at 2025-04-03 17:03:53""}"
50061,2024-10-22 17:03:53,Endpoint,1299,Configuration Change,Info,AI,a238bb3867011f742e3db9d754665451e6b0ac8fa17dbf678344fae531b18254,Benign,Ignored,v1.4.13,"{""details"": ""Event Configuration Change for user 1299 at 2024-10-22 17:03:53""}"
50062,2025-01-15 17:03:53,Cloud,1194,Password Reset,Info,Human,3211c7cf714e06933623273198713d3b966e741eb4b81173b4690b7f6edda75f,Benign,Escalated,v2.8.11,"{""details"": ""Event Password Reset for user 1194 at 2025-01-15 17:03:53""}"
50063,2025-03-03 17:03:53,Endpoint,1118,Password Reset,Info,AI,23344744a006230f2367c8dea1b1a5741f3abf6836ec7ef9f388866104a50bdc,Suspicious,Ignored,v2.6.11,"{""details"": ""Event Password Reset for user 1118 at 2025-03-03 17:03:53""}"
50064,2025-01-19 17:03:53,User,1255,Access Revoked,Info,AI,37158a1ef549af033602c0ce03dda3fdb7285d66aad7a03719f8236515cb46dd,Suspicious,Blocked,v2.1.9,"{""details"": ""Event Access Revoked for user 1255 at 2025-01-19 17:03:53""}"
50065,2024-11-26 17:03:53,Endpoint,1257,User Creation,Critical,Human,ae40fc97c572a47d4120d130d90034de1b075aa6dd4c9771dd0414739138aa1b,Benign,Escalated,v1.8.6,"{""details"": ""Event User Creation for user 1257 at 2024-11-26 17:03:53""}"
50066,2024-11-13 17:03:53,User,1171,Policy Change,Info,Agentic AI,4a5011898b15b355a8b0d037457ff43fa74f08d01ba295f30cbdcd5e28a591fa,Confirmed Threat,Escalated,v1.9.4,"{""details"": ""Event Policy Change for user 1171 at 2024-11-13 17:03:53""}"
50067,2024-12-08 17:03:53,Endpoint,1279,Unauthorized Access,Info,AI,cfaac87e14256d1a08e84472e6bd303468e5737e6eb763664cb64598404dc57e,Suspicious,Ignored,v3.0.15,"{""details"": ""Event Unauthorized Access for user 1279 at 2024-12-08 17:03:53""}"
50068,2024-11-01 17:03:53,System,1263,Data Download,Info,Agentic AI,3aa0cf04ae62a940281cefe3565d345eb3432dd180815bc1e4cf1d6b4cc702ad,Suspicious,Alert,v3.9.17,"{""details"": ""Event Data Download for user 1263 at 2024-11-01 17:03:53""}"
50069,2024-08-20 17:03:53,User,1240,Phishing Email,Info,Human,376de35cc7ebcff505401c37e0fe28664dd3eec2753215eb5fe87072a41531fb,Confirmed Threat,Ignored,v1.7.14,"{""details"": ""Event Phishing Email for user 1240 at 2024-08-20 17:03:53""}"
50070,2024-09-17 17:03:53,User,1286,Login,Info,Human,bce5fb530548b82b6413074ea4b65e6dde586665629e167e0b592dc92fc14c26,Confirmed Threat,Blocked,v2.5.10,"{""details"": ""Event Login for user 1286 at 2024-09-17 17:03:53""}"
50071,2025-06-24 17:03:53,System,1116,Malware Alert,Warning,Agentic AI,c8ed545b18c54b0552dda5470ea29837d4911406e2085f1a462cf556551bc304,Confirmed Threat,Escalated,v2.9.0,"{""details"": ""Event Malware Alert for user 1116 at 2025-06-24 17:03:53""}"
50072,2024-09-24 17:03:53,Cloud,1291,Login,Critical,Agentic AI,39e172686c40894f18791178e12d69f5eb42adb75cb7b2ebfea22f8801854554,Confirmed Threat,Ignored,v2.3.12,"{""details"": ""Event Login for user 1291 at 2024-09-24 17:03:53""}"
50073,2024-10-12 17:03:53,System,1033,User Creation,Info,AI,f697974776770c934a1bb5961c2161556a66409e11361ab0baffaf165b0a1549,Suspicious,Escalated,v1.2.3,"{""details"": ""Event User Creation for user 1033 at 2024-10-12 17:03:53""}"
50074,2025-06-25 17:03:53,Endpoint,1284,Data Download,Info,Human,59650bb685ef1fa6faa8e1bf79fff72c8ae1b63ea984399f9a9156fc30f5db3c,Benign,Blocked,v2.4.6,"{""details"": ""Event Data Download for user 1284 at 2025-06-25 17:03:53""}"
50075,2025-02-25 17:03:53,Endpoint,1120,Unauthorized Access,Info,AI,4a35ceb315a15f5887756fec24810a843aa42f8310a26c3d9589d947a8ee94b3,Benign,Escalated,v2.6.5,"{""details"": ""Event Unauthorized Access for user 1120 at 2025-02-25 17:03:53""}"
50076,2025-03-09 17:03:53,System,1057,Data Download,Warning,AI,e03b01d30979e4a9ab771a875273b5b57e7ebb390493188494fdf2724d586dfb,Benign,Alert,v1.4.13,"{""details"": ""Event Data Download for user 1057 at 2025-03-09 17:03:53""}"
50077,2025-05-04 17:03:53,User,1244,Data Download,Info,Agentic AI,1d7b1bf475dc637eb05575fc40d95441107fb05d14f7879c3718415f9497ee30,Suspicious,Escalated,v1.0.4,"{""details"": ""Event Data Download for user 1244 at 2025-05-04 17:03:53""}"
50078,2025-05-13 17:03:53,System,1229,Logout,Warning,AI,c52395259506c71ce17e30a8eb0beff1054e925104ffc8d751c15c4645028f8a,Confirmed Threat,Ignored,v2.7.18,"{""details"": ""Event Logout for user 1229 at 2025-05-13 17:03:53""}"
50079,2025-06-03 17:03:53,User,1021,Logout,Warning,AI,30408abad5d7dca867fedc77c8c04c103a46d284cc9d5639db445abb1e842fdb,Confirmed Threat,Escalated,v2.9.5,"{""details"": ""Event Logout for user 1021 at 2025-06-03 17:03:53""}"
50080,2025-05-20 17:03:53,Cloud,1213,Policy Change,Warning,AI,8fdbc86e07cfa77a098308c2f1e48eefd067564df047b5895b1597acfa53f8a6,Confirmed Threat,Alert,v3.9.3,"{""details"": ""Event Policy Change for user 1213 at 2025-05-20 17:03:53""}"
50081,2024-09-26 17:03:53,Cloud,1202,Login,Info,AI,7a17b41d48f0965abd0a54effc42a4b6211847efe53d8adfdff7922ddb1bfd45,Suspicious,Blocked,v3.3.15,"{""details"": ""Event Login for user 1202 at 2024-09-26 17:03:53""}"
50082,2025-01-12 17:03:53,Endpoint,1211,User Creation,Info,Human,1252f5435077c3177c55ff94a5af46727cf857f055410f93dd67231402a0c6e0,Suspicious,Ignored,v2.2.8,"{""details"": ""Event User Creation for user 1211 at 2025-01-12 17:03:53""}"
50083,2025-03-01 17:03:53,Endpoint,1107,User Creation,Info,AI,201b0f48ed35a8e99aaf26c5d2fd01def38ffcafd91fc07bf599abdacc169d18,Confirmed Threat,Ignored,v2.5.12,"{""details"": ""Event User Creation for user 1107 at 2025-03-01 17:03:53""}"
50084,2024-07-13 17:03:53,Endpoint,1100,Malware Alert,Info,Agentic AI,36eea20928b0f04f855ab06605ebc05c1e08aaf60dd7bb31320f0d942dbea469,Benign,Escalated,v3.7.15,"{""details"": ""Event Malware Alert for user 1100 at 2024-07-13 17:03:53""}"
50085,2025-04-14 17:03:53,Endpoint,1237,Logout,Info,Agentic AI,7487e1c7f285240db5d18faee8c84d52c53c74d215c0988bd4271a778cff36c9,Suspicious,Alert,v2.4.5,"{""details"": ""Event Logout for user 1237 at 2025-04-14 17:03:53""}"
50086,2024-10-06 17:03:53,Endpoint,1088,Login,Info,AI,622382181e4758fa03346adb9522bf89711b822b234e9378cee089bee8767a07,Suspicious,Alert,v1.0.8,"{""details"": ""Event Login for user 1088 at 2024-10-06 17:03:53""}"
50087,2024-10-07 17:03:53,User,1079,Phishing Email,Info,Human,8740a873eea1c5e0e3d13a7b09ff2f4994e028641c06c7092aa00c1ecbf9bde2,Confirmed Threat,Alert,v2.0.20,"{""details"": ""Event Phishing Email for user 1079 at 2024-10-07 17:03:53""}"
50088,2025-01-23 17:03:53,Endpoint,1268,Configuration Change,Info,AI,3ace6f860788e2e5b161640e2943855ce95207ffa74a437df5df1b7a23e2f088,Confirmed Threat,Blocked,v1.6.6,"{""details"": ""Event Configuration Change for user 1268 at 2025-01-23 17:03:53""}"
50089,2024-10-18 17:03:53,Cloud,1128,Access Revoked,Info,AI,82dff6834801c5840654c69c903f7d0be941d808ac073408ced4e06b755695d4,Benign,Escalated,v1.1.7,"{""details"": ""Event Access Revoked for user 1128 at 2024-10-18 17:03:53""}"
50090,2024-10-01 17:03:53,Cloud,1050,Configuration Change,Info,AI,bb59d77ba237bee1079d9917c7d319637f7b4038c288fa4d84132b121f8d9a9d,Suspicious,Escalated,v3.3.19,"{""details"": ""Event Configuration Change for user 1050 at 2024-10-01 17:03:53""}"
50091,2025-02-12 17:03:53,System,1107,User Creation,Info,AI,4c4dcea9d885366a056795ff59918a166f78601b8b1e67cd0f6ea99cabd92994,Suspicious,Escalated,v1.0.12,"{""details"": ""Event User Creation for user 1107 at 2025-02-12 17:03:53""}"
50092,2024-10-24 17:03:53,System,1162,Login,Info,Human,71305cd5a73ab928902cea60819317ef2b981da97df6d14450a70f3e2a61de97,Suspicious,Escalated,v1.1.6,"{""details"": ""Event Login for user 1162 at 2024-10-24 17:03:53""}"
50093,2024-08-29 17:03:53,System,1211,Unauthorized Access,Warning,Agentic AI,0f83066e813f5530386c7d8c16bfdd2c6e01d2ad69f5b3b44ee08b3e9b9cee7d,Confirmed Threat,Alert,v2.1.19,"{""details"": ""Event Unauthorized Access for user 1211 at 2024-08-29 17:03:53""}"
50094,2025-06-20 17:03:53,System,1167,Configuration Change,Critical,Agentic AI,7e4d4c331e55b5efe32b1d162788d3788e6041481811473c40f3bd9af7c2c339,Benign,Escalated,v1.5.15,"{""details"": ""Event Configuration Change for user 1167 at 2025-06-20 17:03:53""}"
50095,2025-05-15 17:03:53,Endpoint,1035,Access Revoked,Critical,AI,233b7f27aa4dd51232942238969c457ee8f0517451f241b492ef6b3a8f348b79,Confirmed Threat,Alert,v3.9.0,"{""details"": ""Event Access Revoked for user 1035 at 2025-05-15 17:03:53""}"
50096,2024-12-13 17:03:53,Endpoint,1120,Login,Info,AI,514724638428e639127bcede26a4892cc6dd1b1cc179781b51c3b457ff2fece0,Benign,Blocked,v1.2.11,"{""details"": ""Event Login for user 1120 at 2024-12-13 17:03:53""}"
50097,2024-09-23 17:03:53,Cloud,1256,Unauthorized Access,Info,AI,ac0ce13c4dbcbea6fbd577b3a3f6a3c59a6ab309f94bcb6f82ddfad51f73f816,Benign,Ignored,v3.5.4,"{""details"": ""Event Unauthorized Access for user 1256 at 2024-09-23 17:03:53""}"
50098,2025-03-31 17:03:53,Endpoint,1143,Access Revoked,Warning,AI,a8ee02bdb38744380f4f3c0e0e644092fc5507a60ff6d6b110c573635e96c3e4,Suspicious,Blocked,v1.5.10,"{""details"": ""Event Access Revoked for user 1143 at 2025-03-31 17:03:53""}"
50099,2025-06-13 17:03:53,Endpoint,1125,Policy Change,Critical,Agentic AI,16811ba681a5908adcc16e75306bde78e654516ec89b00ad9681c6e3e2f90b88,Confirmed Threat,Alert,v3.6.16,"{""details"": ""Event Policy Change for user 1125 at 2025-06-13 17:03:53""}"
50100,2025-05-26 17:03:53,System,1165,Data Download,Info,Agentic AI,d6e672f9fd9ec75e5ce2246dd30d8d4294b5082ba80abed45b4fdd6bd105eb25,Benign,Alert,v1.2.6,"{""details"": ""Event Data Download for user 1165 at 2025-05-26 17:03:53""}"
50101,2025-05-07 17:03:53,Cloud,1065,Logout,Info,Agentic AI,826df67ace3fee0d87668e5f7a6e4c1db618dd41696df3b591faae1e0280f960,Benign,Alert,v3.1.13,"{""details"": ""Event Logout for user 1065 at 2025-05-07 17:03:53""}"
50102,2024-10-17 17:03:53,Cloud,1240,Unauthorized Access,Info,Human,bc3a71f1a0a2ae098bc11666d44999e3d1464b1233b2cc88831b7f845f770512,Benign,Escalated,v2.9.14,"{""details"": ""Event Unauthorized Access for user 1240 at 2024-10-17 17:03:53""}"
